1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
354	-0.478217	8.801207	0.337874	0.050219	2.1
355	-0.461393	9.797265	0.326946	0.029296	1.6
356	-0.469396	10.797265	0.316664	0.038291	1.5
357	-0.468999	9.894758	0.325914	0.053720	1.8
358	-0.501956	8.992251	0.335722	0.041995	2.5
359	-0.466274	9.992111	0.324891	0.055580	1.6
360	-0.473449	10.992106	0.314735	0.045579	1.5
361	-0.470799	10.089598	0.323872	0.032206	1.5
362	-0.470957	11.089598	0.313779	0.047986	2.2
363	-0.467167	10.253382	0.322175	0.050215	1.8
364	-0.497477	9.350875	0.331755	0.065295	1.6
365	-0.464568	8.448367	0.341922	0.037468	2.2
366	-0.450404	7.565471	0.352490	0.062101	2.5
367	-0.495886	8.564765	0.340576	0.054168	1.6
368	-0.453168	9.559087	0.329494	0.041641	1.5
369	-0.470520	8.658895	0.339495	0.022810	1.8
370	-0.466731	8.022337	0.346941	0.043607	1.5
371	-0.490731	8.154505	0.345369	0.028505	1.9
372	-0.491439	7.251998	0.356401	0.023159	1.6
373	-0.468523	8.244984	0.344300	0.048340	1.8
374	-0.473474	9.244978	0.332916	0.036219	2.1
375	-0.468731	8.342470	0.343156	0.017249	1.7
376	-0.472728	8.767284	0.338259	0.019118	1.8
377	-0.517588	9.441950	0.330762	0.060215	1.6
378	-0.452341	9.812547	0.326784	0.049402	1.5
379	-0.440370	10.812547	0.316512	0.021655	1.6
380	-0.516229	11.473264	0.310072	0.042565	2.2
381	-0.482370	10.570821	0.318935	0.052386	1.7
382	-0.475372	9.668313	0.328321	0.030030	2.2
383	-0.467805	10.665500	0.317982	0.028023	1.6
384	-0.478851	9.762993	0.327310	0.041120	1.8
385	-0.479650	9.568017	0.329398	0.034580	1.8
386	-0.452801	10.568017	0.318964	0.028528	1.6
387	-0.463539	11.168026	0.313014	0.039212	1.7
388	-0.474034	12.168026	0.303577	0.022253	2.3
389	-0.489257	13.045508	0.295753	0.040643	1.6
390	-0.481089	12.163499	0.303618	0.059265	2.9
391	-0.475230	11.260991	0.312112	0.014225	1.8
392	-0.465913	12.247545	0.302851	0.015029	1.6
393	-0.464523	12.826911	0.297664	0.036458	1.6
394	-0.468259	13.138659	0.294946	0.017064	1.5
395	-0.466803	13.017062	0.296000	0.027025	2.3
396	-0.489909	12.117744	0.304038	0.066054	1.7
397	-0.470638	11.215479	0.312553	0.046892	1.6
398	-0.472367	12.214740	0.303150	0.044721	2.6
399	-0.475688	11.312233	0.311617	0.048726	2.2
400	-0.466869	10.409783	0.320570	0.056921	1.6
401	-0.495928	9.507275	0.330054	0.046906	1.6
402	-0.500173	9.825233	0.326650	0.047845	2.0
403	-0.468592	10.501980	0.319632	0.056260	1.9
404	-0.479113	9.599473	0.329060	0.053805	1.7
405	-0.464743	10.265099	0.322054	0.034296	2.6
406	-0.462043	11.264610	0.312077	0.056925	1.9
407	-0.470096	10.362898	0.321050	0.045858	1.6
408	-0.455638	11.362898	0.311129	0.033770	1.7
409	-0.486570	10.584001	0.318802	0.039921	1.6
410	-0.485930	9.711276	0.327862	0.031057	2.0
411	-0.471065	8.808770	0.337788	0.043647	1.6
412	-0.470430	7.906568	0.348331	0.028736	1.5
413	-0.460030	8.906568	0.336683	0.051877	2.4
414	-0.467616	9.906568	0.325790	0.021950	1.6
415	-0.460554	10.906568	0.315579	0.047691	1.6
416	-0.472314	10.004478	0.324761	0.031163	1.6
417	-0.461861	9.102143	0.334496	0.032299	2.7
418	-0.471904	8.199693	0.344834	0.056040	1.6
419	-0.490168	7.297186	0.355832	0.030033	1.5
420	-0.497454	6.414817	0.367285	0.035938	1.9
421	-0.484842	7.414814	0.354359	0.050918	2.3
422	-0.465158	6.512307	0.365983	0.045489	1.9
423	-0.482991	6.314608	0.368632	0.042124	1.6
424	-0.483970	5.412103	0.381229	0.048292	2.4
425	-0.496401	6.411986	0.367323	0.040073	2.6
426	-0.455084	5.509478	0.379828	0.041886	1.9
427	-0.466726	6.509476	0.366021	0.034632	2.6
428	-0.462045	7.509099	0.353187	0.044665	1.9
429	-0.464495	6.710253	0.363369	0.023752	1.7
430	-0.484934	7.710102	0.350714	0.018999	2.3
431	-0.452770	7.283408	0.356005	0.035672	2.1
432	-0.487907	6.891879	0.361003	0.032848	1.6
433	-0.461464	7.891878	0.348508	0.032165	1.5
434	-0.466882	7.721736	0.350572	0.048717	1.5
435	-0.461877	8.720280	0.338794	0.023878	3.0
436	-0.463200	8.318843	0.343433	0.029600	1.6
437	-0.470730	9.314021	0.332158	0.025111	2.0
438	-0.484649	8.538712	0.340876	0.028379	2.0
439	-0.471234	9.522213	0.329892	0.015494	2.0
440	-0.509687	8.627655	0.339853	0.042834	1.6
441	-0.448087	9.625251	0.328783	0.019480	1.5
442	-0.477706	10.621183	0.318427	0.068959	2.2
443	-0.486202	9.748417	0.327466	0.051443	2.1
444	-0.483397	10.748417	0.317151	0.028705	1.9
445	-0.459127	9.845910	0.326431	0.026349	2.0
446	-0.475448	10.390602	0.320766	0.062093	1.6
447	-0.467688	11.386647	0.310901	0.053367	1.6
448	-0.490835	10.484140	0.319813	0.044286	1.7
449	-0.464765	10.242788	0.322284	0.010774	1.9
450	-0.448847	11.240410	0.312311	0.030716	2.3
451	-0.466194	12.072925	0.304450	0.032657	1.6
452	-0.481398	11.417548	0.310605	0.030950	2.4
453	-0.470078	11.136073	0.313325	0.059888	1.6
454	-0.436661	10.233897	0.322376	0.044774	1.6
455	-0.467889	9.331390	0.331968	0.071903	1.6
456	-0.463404	8.428882	0.342148	0.034367	1.9
457	-0.479597	7.526375	0.352973	0.037340	2.6
458	-0.485021	6.623867	0.364505	0.057731	2.2
459	-0.466907	7.612100	0.351916	0.025526	1.9
460	-0.463078	8.488525	0.341456	0.030452	1.6
461	-0.500464	7.586056	0.352236	0.053040	1.7
462	-0.472559	8.586056	0.340331	0.041491	1.6
463	-0.461204	9.586054	0.329204	0.056212	1.8
464	-0.489451	10.586054	0.318781	0.015095	2.1
465	-0.477317	9.683718	0.328156	0.049409	1.9
466	-0.456767	8.781260	0.338100	0.059532	2.4
467	-0.489666	9.781260	0.327116	0.034711	1.9
468	-0.457743	10.781260	0.316823	0.049680	1.6
469	-0.468107	9.878753	0.326083	0.052056	1.7
470	-0.458173	10.878753	0.315855	0.030818	1.6
471	-0.460282	11.878753	0.306248	0.047061	2.5
472	-0.466056	11.051781	0.314149	0.037281	2.7
473	-0.463476	12.051724	0.304645	0.051767	2.2
474	-0.470294	11.149216	0.313197	0.072458	2.0
475	-0.483832	10.246709	0.322243	0.022474	1.6
476	-0.507383	9.344202	0.331828	0.047745	1.5
477	-0.483292	8.441705	0.341999	0.028809	1.6
478	-0.470615	9.441705	0.330765	0.047775	1.9
479	-0.441264	8.539303	0.340870	0.023073	1.6
480	-0.473725	9.536729	0.329736	0.036700	2.2
481	-0.485794	10.337586	0.321309	0.046105	2.1
482	-0.479971	9.435090	0.330837	0.036750	1.7
483	-0.460107	10.435090	0.320312	0.039282	1.6
484	-0.469167	9.532613	0.329780	0.049943	2.0
485	-0.478484	10.532613	0.319322	0.033739	2.0
486	-0.473921	11.532613	0.309506	0.028902	1.6
487	-0.491777	12.532521	0.300277	0.042530	3.3
488	-0.481741	13.532521	0.291582	0.039802	2.1
489	-0.450915	12.632127	0.299388	0.036107	1.6
490	-0.483231	11.729619	0.307643	0.030682	1.5
491	-0.475353	10.827112	0.316367	0.052801	1.6
492	-0.481793	9.924604	0.325600	0.036276	1.9
493	-0.468286	10.924604	0.315401	0.043328	1.9
494	-0.457180	10.024885	0.324547	0.045898	2.3
495	-0.481040	9.122378	0.334271	0.031746	2.1
496	-0.460238	10.122378	0.323531	0.019624	1.6
497	-0.497796	10.177476	0.322959	0.089326	1.9
498	-0.479990	11.176489	0.312932	0.060779	1.7
499	-0.491791	10.273982	0.321962	0.035479	2.0
500	-0.461213	11.273982	0.311987	0.063754	1.6
501	-0.472932	12.273982	0.302610	0.044022	1.6
502	-0.495973	11.371475	0.311047	0.050295	3.4
503	-0.479222	12.371475	0.301726	0.052448	1.6
504	-0.478661	11.468967	0.310113	0.057758	1.5
505	-0.466078	10.747797	0.317157	0.042339	1.6
506	-0.471349	9.847116	0.326418	0.050135	1.6
507	-0.490317	8.944609	0.336256	0.034330	2.1
508	-0.464135	8.211432	0.344695	0.024750	1.6
509	-0.492260	7.308925	0.355685	0.027154	1.7
510	-0.480678	7.916887	0.348206	0.060857	2.3
511	-0.484637	7.015443	0.359411	0.054125	1.7
512	-0.455259	6.112936	0.371374	0.046161	1.6
513	-0.487252	5.210429	0.384162	0.034765	1.6
514	-0.463343	4.307921	0.397862	0.060581	2.0
515	-0.477149	5.307921	0.382738	0.042714	1.6
516	-0.495292	4.405414	0.396335	0.044339	1.5
517	-0.494178	3.533987	0.410412	0.021297	2.2
518	-0.462566	4.533985	0.394339	0.040371	1.6
519	-0.486578	3.631478	0.408788	0.033253	1.5
520	-0.484775	4.626004	0.392923	0.046298	1.9
521	-0.488236	5.626003	0.378166	0.040916	2.0
522	-0.485830	6.626003	0.364477	0.043306	1.6
523	-0.458779	7.626003	0.351745	0.034608	1.5
524	-0.494501	6.776459	0.362503	0.025648	3.4
525	-0.492476	7.692703	0.350927	0.040881	1.8
526	-0.475512	6.790667	0.362318	0.055772	1.6
527	-0.463352	5.888159	0.374479	0.035414	1.6
528	-0.493976	6.888159	0.361051	0.027019	1.9
529	-0.489640	7.256668	0.356342	0.040904	1.9
530	-0.514097	8.254570	0.344187	0.033250	1.6
531	-0.501663	9.254569	0.332811	0.018582	1.9
532	-0.476039	10.249454	0.322215	0.033373	2.4
533	-0.473708	9.424781	0.330949	0.053107	1.6
534	-0.465675	8.553501	0.340706	0.033393	1.7
535	-0.499116	9.553500	0.329555	0.027921	1.6
536	-0.481272	9.193578	0.333483	0.037909	1.5
537	-0.459917	8.291163	0.343757	0.029849	1.6
538	-0.491899	7.502844	0.353265	0.026669	1.6
539	-0.480130	6.600342	0.364816	0.056672	2.5
540	-0.473601	7.600342	0.352060	0.035112	2.3
541	-0.466113	6.697834	0.363532	0.029247	1.6
542	-0.489109	6.189164	0.370333	0.033228	1.5
543	-0.488243	5.286661	0.383048	0.032841	1.5
544	-0.458441	6.286661	0.369010	0.010616	1.6
545	-0.486387	7.087137	0.358493	0.033954	1.6
546	-0.451389	7.319531	0.355551	0.021534	1.6
547	-0.456747	8.163283	0.345265	0.047576	1.9
548	-0.484747	7.260775	0.356291	0.032938	1.6
549	-0.467932	8.260775	0.344114	0.023528	2.6
550	-0.480542	9.026554	0.335338	0.045358	1.6
551	-0.474951	10.026554	0.324530	0.041043	1.5
552	-0.483018	11.026554	0.314397	0.023487	1.5
553	-0.487933	10.134283	0.323407	0.043802	1.5
554	-0.457581	9.231776	0.333062	0.043875	1.9
555	-0.470424	10.231775	0.322398	0.028922	2.0
556	-0.472250	11.231747	0.312395	0.037306	1.6
557	-0.491397	12.231747	0.302995	0.064143	2.2
558	-0.465494	11.329240	0.311453	0.043035	1.6
559	-0.492260	10.426732	0.320398	0.028850	1.6
560	-0.475425	11.417929	0.310601	0.068068	1.5
561	-0.487190	12.417929	0.301307	0.040567	1.5
562	-0.472411	11.515421	0.309670	0.021679	1.5
563	-0.461158	12.484854	0.300705	0.051090	2.0
564	-0.469630	11.611313	0.308759	0.031265	1.9
565	-0.476591	10.708806	0.317547	0.032358	1.6
566	-0.467454	11.594029	0.308923	0.041055	1.8
567	-0.473878	11.814338	0.306849	0.043020	1.6
568	-0.463433	12.814338	0.297775	0.041719	1.6
569	-0.462089	11.913090	0.305928	0.032751	1.9
570	-0.479117	12.282302	0.302535	0.034543	1.7
571	-0.455925	11.534860	0.309485	0.059895	2.2
572	-0.505909	12.534860	0.300256	0.043372	1.7
573	-0.476648	13.534089	0.291568	0.054231	1.5
574	-0.490222	14.533931	0.283364	0.038921	1.9
575	-0.464882	13.631424	0.290749	0.035639	1.6
576	-0.483943	14.524074	0.283443	0.057320	1.6
577	-0.470541	13.621566	0.290832	0.017358	1.6
578	-0.481384	14.621531	0.282667	0.058983	1.6
579	-0.486233	14.554773	0.283198	0.041632	2.5
580	-0.481401	15.554773	0.275451	0.034184	1.6
581	-0.489462	14.652841	0.282419	0.029686	1.6
582	-0.496630	15.652841	0.274714	0.023963	2.4
583	-0.482993	14.954963	0.280046	0.040717	2.0
584	-0.488764	14.195617	0.286088	0.015346	1.7
585	-0.458155	14.662261	0.282345	0.029114	1.6
586	-0.501641	15.656148	0.274689	0.031546	2.1
587	-0.467166	16.524328	0.268334	0.036453	1.8
588	-0.459326	15.780784	0.273758	0.067800	1.7
589	-0.469982	16.780784	0.266512	0.030039	1.5
590	-0.485576	17.780784	0.259640	0.018755	2.1
591	-0.507566	16.878298	0.265826	0.024858	1.5
592	-0.490609	16.052732	0.271749	0.029653	1.5
593	-0.503486	17.032453	0.264749	0.061008	1.8
594	-0.496432	18.032453	0.257966	0.026854	2.0
595	-0.482932	19.032453	0.251522	0.073761	1.7
596	-0.473971	20.032453	0.245392	0.064098	1.6
597	-0.492409	21.032453	0.239554	0.035902	1.6
598	-0.502117	20.129946	0.244811	0.034711	2.7
599	-0.465454	19.227449	0.250303	0.029117	1.6
600	-0.465331	18.422661	0.255413	0.050045	1.7
601	-0.486915	18.781854	0.253107	0.028497	1.6
602	-0.502044	19.781854	0.246900	0.065873	2.5
603	-0.477530	20.779243	0.241006	0.039572	2.4
604	-0.483380	19.876735	0.246327	0.030829	3.2
605	-0.480436	19.011475	0.251654	0.038516	1.7
606	-0.493458	18.115620	0.257418	0.066514	2.3
607	-0.485781	17.213112	0.263497	0.021622	2.4
608	-0.485814	18.213112	0.256778	0.038230	1.9
609	-0.487329	17.310605	0.262827	0.037120	1.6
610	-0.476607	16.982300	0.265098	0.058019	2.9
611	-0.456088	16.079793	0.271551	0.040584	2.3
612	-0.466712	17.079793	0.264420	0.065805	1.6
613	-0.494388	18.078789	0.257660	0.065431	2.1
614	-0.490477	19.078789	0.251231	0.046659	1.6
615	-0.476670	20.078789	0.245115	0.037102	1.6
616	-0.471127	21.077835	0.239296	0.036867	1.6
617	-0.468037	21.968578	0.234335	0.056134	1.8
618	-0.485388	22.968578	0.229006	0.022196	2.7
619	-0.491960	22.066070	0.233805	0.018276	1.6
620	-0.487807	23.037590	0.228647	0.041805	1.6
621	-0.452079	22.255223	0.232782	0.054351	2.0
622	-0.443271	23.255223	0.227522	0.049198	3.9
623	-0.485675	22.352716	0.232259	0.099653	3.3
624	-0.484146	21.450208	0.237197	0.055371	3.0
625	-0.459582	20.547747	0.242349	0.055405	3.0
626	-0.467800	21.547745	0.236653	0.083674	2.4
627	-0.467649	22.547745	0.231219	0.023030	3.2
628	-0.479524	23.547713	0.226028	0.029290	2.1
629	-0.476768	24.237923	0.222580	0.034319	2.8
630	-0.469963	23.337371	0.227101	0.026506	2.5
631	-0.482242	24.337370	0.222092	0.033968	2.0
632	-0.470612	25.337368	0.217299	0.030908	1.8
633	-0.501633	26.337368	0.212708	0.020934	3.4
634	-0.494467	27.302428	0.208458	0.024512	2.5
635	-0.497552	28.183849	0.204723	0.025687	2.1
636	-0.476852	27.990377	0.205531	0.023395	2.1
