1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
265	-0.507634	5.097189	0.648947	0.026894	1.9
266	-0.500145	5.449078	0.640313	0.028965	1.6
267	-0.512108	5.413903	0.641166	0.022978	1.6
268	-0.483518	5.059979	0.649874	0.025912	1.8
269	-0.513650	4.708067	0.658770	0.029060	2.4
270	-0.496157	5.408288	0.641302	0.017646	1.6
271	-0.491861	5.387532	0.641807	0.037288	1.5
272	-0.490376	6.176290	0.623179	0.018580	2.1
273	-0.504597	5.947904	0.628461	0.040354	1.9
274	-0.525458	5.593971	0.636825	0.023575	1.6
275	-0.498697	5.240069	0.645414	0.014796	1.5
276	-0.511687	4.926616	0.653217	0.016076	1.5
277	-0.528465	5.387281	0.641813	0.026070	2.7
278	-0.490174	5.033677	0.650531	0.022496	1.7
279	-0.519478	6.027077	0.626620	0.021183	1.5
280	-0.484053	5.676974	0.634843	0.038063	1.7
281	-0.523072	5.323000	0.643380	0.019246	1.9
282	-0.533639	6.317719	0.619953	0.032513	1.9
283	-0.535619	7.298771	0.598461	0.020721	1.6
284	-0.509917	6.944873	0.606040	0.043153	1.7
285	-0.486927	6.591632	0.613798	0.021793	1.8
286	-0.508755	6.237658	0.621775	0.044166	1.6
287	-0.491214	7.181694	0.600947	0.021995	1.8
288	-0.488046	6.827727	0.608591	0.016901	2.0
289	-0.533192	7.788511	0.588280	0.025208	1.6
290	-0.513085	8.739092	0.569476	0.020709	1.5
291	-0.544502	8.517627	0.573749	0.020076	1.5
292	-0.509572	8.189912	0.580190	0.033805	2.4
293	-0.492759	9.147328	0.561765	0.019606	1.7
294	-0.519752	10.142974	0.543805	0.023554	1.6
295	-0.511632	9.879289	0.548449	0.033541	1.5
296	-0.521740	9.525333	0.554808	0.042511	1.5
297	-0.542023	10.525333	0.537209	0.022330	2.5
298	-0.491775	11.525333	0.520693	0.022541	1.5
299	-0.497360	12.525099	0.505165	0.035526	1.5
300	-0.501833	13.061891	0.497204	0.037172	2.1
301	-0.501509	14.061891	0.483023	0.050666	2.2
302	-0.494548	15.061891	0.469629	0.014782	1.8
303	-0.487311	14.874246	0.472085	0.020916	1.6
304	-0.530058	14.532626	0.476624	0.026734	1.9
305	-0.515883	14.179399	0.481410	0.015218	1.8
306	-0.509743	13.825638	0.486300	0.032302	1.7
307	-0.526012	14.825514	0.472727	0.029759	1.7
308	-0.498087	14.471541	0.477445	0.025895	2.4
309	-0.495476	14.118586	0.482243	0.025502	1.7
310	-0.523510	15.110128	0.469001	0.032879	1.7
311	-0.494086	15.743460	0.460917	0.019254	1.9
312	-0.513658	16.742664	0.448715	0.032321	2.0
313	-0.509259	16.435603	0.452396	0.011986	1.6
314	-0.507745	17.434571	0.440637	0.014586	1.5
315	-0.490141	17.102817	0.444474	0.012641	2.6
316	-0.519823	16.986254	0.445838	0.022292	2.0
317	-0.525530	16.660154	0.449698	0.021458	1.7
318	-0.496430	16.306574	0.453960	0.029209	1.5
319	-0.498892	15.952604	0.458309	0.023771	2.5
320	-0.492260	15.598630	0.462741	0.013041	1.9
321	-0.532977	15.315117	0.466354	0.012324	1.6
322	-0.534630	15.187669	0.467996	0.020222	2.6
323	-0.513167	15.034963	0.469980	0.028862	2.5
324	-0.500767	14.738253	0.473882	0.044175	2.1
325	-0.493555	15.738253	0.460983	0.022447	2.4
326	-0.482352	16.208251	0.455160	0.017103	1.8
327	-0.506248	17.175708	0.443625	0.017906	1.8
328	-0.516959	17.458963	0.440358	0.012015	2.1
329	-0.524228	17.111774	0.444369	0.050314	1.9
330	-0.476254	16.757948	0.448533	0.020113	1.5
331	-0.506517	17.674288	0.437906	0.036720	1.5
332	-0.527540	18.662920	0.426991	0.029273	1.5
333	-0.486886	18.308947	0.430836	0.021253	2.0
334	-0.545384	19.305387	0.420185	0.022415	1.6
335	-0.525856	19.744798	0.415653	0.034831	2.3
336	-0.492373	19.390911	0.419295	0.044867	2.8
337	-0.480602	20.390911	0.409165	0.019914	2.1
338	-0.496021	20.210032	0.410961	0.025958	1.6
339	-0.545294	19.857005	0.414512	0.026533	1.7
340	-0.516345	19.503089	0.418134	0.038331	1.9
341	-0.491613	19.149116	0.421820	0.038028	1.6
342	-0.529187	18.795156	0.425572	0.029178	2.3
343	-0.498110	18.441183	0.429391	0.026501	2.9
344	-0.523434	19.439946	0.418786	0.048689	1.6
345	-0.500034	19.086275	0.422481	0.022626	1.6
346	-0.552216	20.083520	0.412226	0.010376	1.8
347	-0.510913	19.751333	0.415586	0.028938	1.9
348	-0.514152	19.517906	0.417981	0.019062	1.6
349	-0.485154	19.960121	0.413468	0.016147	1.7
350	-0.517152	20.870791	0.404475	0.014621	2.2
351	-0.530032	20.542207	0.407675	0.042758	2.0
352	-0.498425	20.236973	0.410692	0.012361	1.6
353	-0.537706	20.582300	0.407281	0.017184	1.5
354	-0.498501	20.361781	0.409453	0.027092	1.7
355	-0.531734	20.008213	0.412983	0.024135	1.7
356	-0.487180	21.004762	0.403185	0.036981	1.8
357	-0.532451	21.910807	0.394672	0.029858	1.9
358	-0.511781	22.910806	0.385684	0.037133	2.4
359	-0.482596	22.556833	0.388818	0.038918	1.6
360	-0.499156	22.202859	0.392004	0.029795	1.7
361	-0.491161	23.027988	0.384658	0.023150	1.6
362	-0.514405	23.474625	0.380795	0.013614	2.0
363	-0.493009	23.234560	0.382861	0.050774	1.6
364	-0.530116	23.083706	0.384171	0.025963	1.5
365	-0.492646	23.098573	0.384042	0.015325	1.8
366	-0.545021	22.814477	0.386532	0.035868	1.9
367	-0.510042	22.740707	0.387184	0.048623	1.6
368	-0.512526	22.386733	0.390343	0.032014	1.6
369	-0.520320	23.386383	0.381552	0.029232	1.5
370	-0.502789	23.034631	0.384600	0.018249	2.5
371	-0.507211	22.681416	0.387710	0.016438	1.6
372	-0.492437	22.329294	0.390860	0.043312	1.5
373	-0.515746	23.329202	0.382044	0.045104	2.5
374	-0.526736	22.975228	0.385119	0.015099	1.8
375	-0.529585	23.975174	0.376557	0.030826	1.6
376	-0.540110	24.688736	0.370676	0.018543	1.6
377	-0.504888	24.335769	0.373562	0.026182	1.8
378	-0.476928	24.220653	0.374513	0.020409	1.7
379	-0.512087	24.764598	0.370061	0.021265	1.6
380	-0.536911	25.683015	0.362781	0.024506	1.7
381	-0.530455	25.336550	0.365493	0.030965	2.8
382	-0.495854	24.982582	0.368307	0.027092	1.7
383	-0.535660	25.373859	0.365199	0.017834	1.5
384	-0.503568	25.023640	0.367978	0.015105	1.8
385	-0.504552	24.743043	0.370236	0.033915	1.9
386	-0.506102	25.604866	0.363389	0.025884	1.7
387	-0.507153	25.271666	0.366006	0.028306	1.6
388	-0.524043	24.917697	0.368827	0.038327	1.6
389	-0.515824	24.567500	0.371662	0.013812	1.6
390	-0.513628	24.322516	0.373671	0.027760	1.6
391	-0.534138	24.828583	0.369545	0.020919	1.6
392	-0.504151	25.805652	0.361830	0.013096	2.0
393	-0.517956	25.482981	0.364342	0.039713	1.8
394	-0.527806	25.129589	0.367133	0.021057	1.8
395	-0.500240	24.775615	0.369972	0.036270	1.6
